"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
799	"SRX1564683"	"mm9"	"Chromatin"	"DNase-seq"	"Embryo"	"Embryonic brains"	"None"	"None"	"CD-1"	0.9901	0.7238
800	"SRX1564685"	"mm9"	"Chromatin"	"DNase-seq"	"Embryo"	"Neural tube"	"None"	"None"	"CD-1"	0.9885	0.6668
801	"SRX1564903"	"mm9"	"TFs and others"	"Cebpb"	"Liver"	"Liver"	"None"	"None"	"C57BL/6A"	0.9912	0.1562
802	"SRX1565831"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Natural killer T cells"	"None"	"None"	"C57BL/6"	0.9756	0.3897
803	"SRX1565832"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"Natural killer T cells"	"None"	"None"	"C57BL/6"	0.9701	0.309
804	"SRX1568859"	"mm9"	"TFs and others"	"Tcf3"	"Blood"	"B cells"	"None"	"Tcf3 fl/fl, Tcf4 fl/fl"	"C57BL/6"	0.961	0.2725
805	"SRX1568861"	"mm9"	"TFs and others"	"Tcf3"	"Blood"	"B cells"	"None"	"Tcf3 fl/fl, Tcf4 fl/fl"	"C57BL/6"	0.9576	0.1081
806	"SRX1568870"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"Tcf3 fl/fl, Tcf4 fl/fl"	"C57BL/6"	0.9766	0.5383
807	"SRX1568871"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"Fcer2a cre/cre, Tcf3 fl/fl, Tcf4 fl/fl"	"C57BL/6"	0.9761	0.5507
808	"SRX1568882"	"mm9"	"TFs and others"	"Sap130"	"Embryo"	"Embryonic heart"	"None"	"None"	"C57BL/6"	0.9994	0.8921
809	"SRX1569735"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9851	0.6625
810	"SRX1583885"	"mm9"	"TFs and others"	"Irf1"	"Blood"	"Macrophages"	"IFNg (4 hours)"	"None"	"C57BL/6J"	0.971	0.1781
811	"SRX1583886"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6J"	0.9825	0.6069
812	"SRX1583887"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"IFNg (30 minutes)"	"None"	"C57BL/6J"	0.9849	0.605
813	"SRX1583888"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Macrophages"	"IFNg (4 hours)"	"None"	"C57BL/6J"	0.9842	0.6051
814	"SRX1583891"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6J"	0.9775	0.5669
815	"SRX1583892"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"IFNg (4 hours)"	"None"	"C57BL/6J"	0.9743	0.5709
816	"SRX1583893"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"None"	"None"	"BXH2/TyJ"	0.9754	0.5641
817	"SRX1583894"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"IFNg (4 hours)"	"None"	"BXH2/TyJ"	0.9764	0.5609
818	"SRX1584368"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"None"	"CD-1"	0.9923	0.6517
819	"SRX1584369"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"None"	"CD-1"	0.9902	0.6476
820	"SRX1584370"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"None"	"(C57BL/6J x CBA/J)F1/J"	0.9888	0.5999
821	"SRX1585633"	"mm9"	"TFs and others"	"Foxf1"	"Lung"	"Lung"	"None"	"None"	"C57BL/6"	0.9171	0.2229
822	"SRX1585634"	"mm9"	"TFs and others"	"Foxf1"	"Lung"	"Lung"	"None"	"None"	"C57BL/6"	0.9321	0.2321
823	"SRX1590937"	"mm9"	"Histone"	"H3K27me3"	"Digestive tract"	"Intestinal villus"	"None"	"None"	"C57BL/6J x 129"	0.9908	0.3504
824	"SRX1590938"	"mm9"	"Histone"	"H3K27me3"	"Digestive tract"	"Intestinal villus"	"None"	"None"	"C57BL/6J x 129"	0.9878	0.3814
825	"SRX1590939"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Digestive tract"	"Intestinal villus"	"None"	"None"	"C57BL/6J x 129"	0.9624	0.1513
826	"SRX1590944"	"mm9"	"Histone"	"H3K4me2"	"Digestive tract"	"Intestinal crypt"	"DBZ (gamma-secretase inhibitor)"	"Atoh1 fl/fl"	"C57BL/6J x 129"	0.9413	0.1991
827	"SRX159136"	"mm9"	"TFs and others"	"Zfp143"	"Pluripotent stem cell"	"Embryonic stem cells (J1 cell line)"	"None"	"None"	"129S4/SvJae"	0.9547	0.1007
828	"SRX1592541"	"mm9"	"TFs and others"	"Pou5f1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9671	0.2186
829	"SRX1594783"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6J"	0.9905	0.7581
830	"SRX1594791"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129"	0.9911	0.7696
831	"SRX1597806"	"mm9"	"TFs and others"	"Brd4"	"Blood"	"Leukemia"	"None"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9861	0.3931
832	"SRX1597807"	"mm9"	"TFs and others"	"Brd4"	"Blood"	"Leukemia"	"None"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9918	0.2955
833	"SRX1602629"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d -/-"	"C57BL/6 x 129S4/SvJae"	0.997	0.8564
834	"SRX1602639"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9974	0.883
835	"SRX1602640"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.997	0.8655
836	"SRX1602643"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9940000000000001	0.7784
837	"SRX1602657"	"mm9"	"TFs and others"	"Kmt2b"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9977	0.7821
838	"SRX160407"	"mm9"	"Histone"	"H3K27me3"	"Placenta"	"Trophoblast stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9318	0.2078
839	"SRX160412"	"mm9"	"Histone"	"H3K27ac"	"Placenta"	"Trophoblast stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9654	0.5469
840	"SRX1605675"	"mm9"	"Histone"	"H3K4me3"	"Epidermis"	"Epidermis"	"None"	"None"	"(CD-1 x FVB)F1"	0.9971	0.7868
841	"SRX1605679"	"mm9"	"Histone"	"H3K4me3"	"Epidermis"	"Epidermis"	"None"	"None"	"(CD-1 x FVB)F1"	0.9978	0.7254
842	"SRX160814"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9819	0.4915
843	"SRX160818"	"mm9"	"Histone"	"H3K4me1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9576	0.4225
844	"SRX160820"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9918	0.8131
845	"SRX160821"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9922	0.8054
846	"SRX1613080"	"mm9"	"TFs and others"	"Jund"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6"	0.9532	0.0798
847	"SRX1613081"	"mm9"	"TFs and others"	"Jund"	"Blood"	"CD8+ T cells"	"None"	"Bach2 -/-"	"C57BL/6"	0.9602	0.1221
848	"SRX1613082"	"mm9"	"TFs and others"	"Ep300"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6"	0.9768	0.1123
849	"SRX1621817"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic trunk"	"None"	"None"	"CD-1"	0.9811	0.5839
850	"SRX1624492"	"mm9"	"Histone"	"H3K4me1"	"Blood"	"Pro-B cells"	"None"	"Rag1 -/-"	"C57BL/6A"	0.9331	0.3193
851	"SRX1629384"	"mm9"	"TFs and others"	"Bach1"	"Blood"	"M1"	"None"	"None"	"SL"	0.9849	0.2196
852	"SRX1629399"	"mm9"	"Chromatin"	"DNase-seq"	"Embryo"	"Embryonic liver"	"None"	"Ebf1 -/-"	"C57BL/6"	0.9859	0.583
853	"SRX1630245"	"mm9"	"TFs and others"	"Nr1d1"	"Adipocyte"	"White adipocytes"	"None"	"None"	"C57BL/6"	0.9695	0.0497
854	"SRX1630251"	"mm9"	"TFs and others"	"Nr1d1"	"Adipocyte"	"Brown adipocytes"	"None"	"Nr1d1 -/-"	"C57BL/6"	0.9727	0.2344
855	"SRX1630944"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Granulocytic-monocytic progenitors (BN cell line)"	"None"	"None"	"129/Sv"	0.987	0.5018
856	"SRX1630945"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Granulocytic-monocytic progenitors (BN cell line)"	"None"	"None"	"129/Sv"	0.9887	0.4692
857	"SRX1630946"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Granulocytic-monocytic progenitors (BN cell line)"	"None"	"None"	"129/Sv"	0.9917	0.3782
858	"SRX1630947"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Granulocytic-monocytic progenitors (BN cell line)"	"None"	"None"	"129/Sv"	0.9931	0.4499
859	"SRX1631889"	"mm9"	"Histone"	"H3K27ac"	"Gonad"	"Sperm"	"None"	"None"	"CD-1"	0.9988	0.4136
860	"SRX1642489"	"mm9"	"TFs and others"	"Brd9"	"Blood"	"Myeloid leukemia"	"None"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9964	0.2365
861	"SRX1642491"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Myeloid leukemia"	"None"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9866	0.4501
862	"SRX1642501"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Myeloid leukemia"	"Dimethyl sulfoxide"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9846	0.4848
863	"SRX1642503"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Myeloid leukemia"	"BI-7273 (BRD9 bromodomain inhibitor)"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9848	0.4893
864	"SRX1654442"	"mm9"	"Histone"	"H3K56ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9937	0.6902
865	"SRX1654443"	"mm9"	"Histone"	"H3K56ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9904	0.6541
866	"SRX1654444"	"mm9"	"Histone"	"H3K56ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6J x 129/Sv"	0.993	0.6779999999999999
867	"SRX1662099"	"mm9"	"TFs and others"	"Suz12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9963	0.736
868	"SRX1662100"	"mm9"	"TFs and others"	"Suz12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9971	0.7412
869	"SRX1662109"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.992	0.8208
870	"SRX1662110"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9926	0.8186
871	"SRX1662111"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9908	0.8019
872	"SRX1662112"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9911	0.8027
873	"SRX1667526"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Gonad"	"Testis"	"None"	"None"	"129S2/SvPas"	0.9342	0.4635
874	"SRX1667527"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Gonad"	"Testis"	"None"	"Terf2 -/-"	"129S2/SvPas"	0.9548	0.5515
875	"SRX1670181"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9726	0.2691
876	"SRX1670183"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9844	0.5709
877	"SRX1670185"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9675	0.2393
878	"SRX1670187"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9883	0.5727
879	"SRX1670189"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9843	0.2829
880	"SRX1670191"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9896	0.6779
881	"SRX1670193"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9762	0.2766
882	"SRX1670195"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9911	0.623
883	"SRX1670199"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9924	0.6095
884	"SRX1670201"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9867	0.5008
885	"SRX1670203"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9889	0.6161
886	"SRX1670205"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9861	0.4147
887	"SRX1670207"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9906	0.6729999999999999
888	"SRX1670209"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9859	0.3722
889	"SRX1670211"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.993	0.6359
890	"SRX1670215"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9921	0.6335
891	"SRX1670219"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9931	0.6167
892	"SRX1670223"	"mm9"	"TFs and others"	"Rad21"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"Kmt2c -/-, Kmt2d -/-"	"129P2/Ola"	0.9941	0.6433
893	"SRX1670228"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9945	0.6736
894	"SRX1672009"	"mm9"	"TFs and others"	"Stat5a"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9112	0.0557
895	"SRX1672014"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9509	0.4463
896	"SRX1672022"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9931	0.5481
897	"SRX1672023"	"mm9"	"TFs and others"	"Stat5a"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9164	0.0084
898	"SRX1672025"	"mm9"	"TFs and others"	"Nr3c1"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9554	0.1045
899	"SRX1672030"	"mm9"	"TFs and others"	"Nfib"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9512	0.1947
900	"SRX1672031"	"mm9"	"TFs and others"	"Elf5"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9462	0.10800000000000001
901	"SRX1672033"	"mm9"	"Histone"	"H3K4me3"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.998	0.6114
902	"SRX1672038"	"mm9"	"TFs and others"	"Nr3c1"	"Breast"	"Mammary glands"	"None"	"Wap-delE1a"	"C57BL/6"	0.9353	0.0203
903	"SRX1672040"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"Wap-delE1a"	"C57BL/6"	0.9488	0.3623
904	"SRX1672042"	"mm9"	"TFs and others"	"Stat5a"	"Breast"	"Mammary glands"	"None"	"Wap-delE1b"	"C57BL/6"	0.9223	0.0146
905	"SRX1672045"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"Wap-delE1b"	"C57BL/6"	0.9489	0.4036
906	"SRX1672047"	"mm9"	"TFs and others"	"Stat5a"	"Breast"	"Mammary glands"	"None"	"Wap-delE1c"	"C57BL/6"	0.9259	0.0379
907	"SRX1672049"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"Wap-delE1c"	"C57BL/6"	0.9679	0.3601
908	"SRX1672051"	"mm9"	"TFs and others"	"Stat5a"	"Breast"	"Mammary glands"	"None"	"Wap-delE2"	"C57BL/6"	0.914	0.0186
909	"SRX1672053"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"Wap-delE2"	"C57BL/6"	0.9757	0.2629
910	"SRX1672054"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"Wap-delE2"	"C57BL/6"	0.9538	0.3732
911	"SRX1672055"	"mm9"	"TFs and others"	"Stat5a"	"Breast"	"Mammary glands"	"None"	"Wap-delE3"	"C57BL/6"	0.9145	0.0187
912	"SRX1672059"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"Wap-delE3"	"C57BL/6"	0.9629	0.3881
913	"SRX1672060"	"mm9"	"TFs and others"	"Nfib"	"Breast"	"Mammary glands"	"None"	"Wap-delE1b"	"C57BL/6"	0.9631	0.1558
914	"SRX1672061"	"mm9"	"TFs and others"	"Elf5"	"Breast"	"Mammary glands"	"None"	"Wap-delE1b"	"C57BL/6"	0.9494	0.0784
915	"SRX1672063"	"mm9"	"TFs and others"	"Elf5"	"Breast"	"Mammary glands"	"None"	"Wap-delE1c"	"C57BL/6"	0.9387	0.1315
916	"SRX1672064"	"mm9"	"TFs and others"	"Elf5"	"Breast"	"Mammary glands"	"None"	"Wap-delE1c"	"C57BL/6"	0.9556	0.0383
917	"SRX1672745"	"mm9"	"Histone"	"H3K4me2"	"Neural"	"Microglia"	"None"	"None"	"C57BL/6J"	0.9906	0.5838
918	"SRX1672747"	"mm9"	"Histone"	"H3K4me2"	"Neural"	"Pre-microglia"	"None"	"None"	"C57BL/6J"	0.9943	0.4249
919	"SRX1672748"	"mm9"	"Histone"	"H3K4me2"	"Embryo"	"Yolk Sac"	"None"	"None"	"C57BL/6J"	0.9949	0.5121
920	"SRX1684533"	"mm9"	"TFs and others"	"Kdm6a"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9856	0.5181
921	"SRX1686475"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9653	0.3227
922	"SRX1686476"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9648	0.2181
923	"SRX1686477"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9668	0.0615
924	"SRX1686478"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.963	0.2077
925	"SRX1686479"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9778	0.3757
926	"SRX1686480"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9834	0.3424
927	"SRX1686481"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9847	0.3896
928	"SRX1686482"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.985	0.3243
929	"SRX1686486"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9902	0.4209
930	"SRX1688214"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9849	0.3759
931	"SRX1688215"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9927	0.5031
932	"SRX1688226"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Kmt2c -/-, Kmt2d -/-"	"(129 x C57BL/6)F1"	0.9987	0.9162
933	"SRX1688228"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9981	0.8857
934	"SRX1688229"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9991	0.9055
935	"SRX1688231"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Kmt2c fl/fl, Kmt2d fl/fl"	"(129 x C57BL/6)F1"	0.9992	0.929
936	"SRX1688261"	"mm9"	"TFs and others"	"Smc3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9969	0.2089
937	"SRX1688262"	"mm9"	"TFs and others"	"Smc3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9946	0.2109
938	"SRX1688263"	"mm9"	"TFs and others"	"Smc3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9976	0.3351
939	"SRX1688360"	"mm9"	"TFs and others"	"Creb1"	"Liver"	"Hepatocytes"	"None"	"None"	"C57BL/6"	0.9892	0.4819
940	"SRX1688363"	"mm9"	"TFs and others"	"Creb1"	"Liver"	"Hepatocytes"	"None"	"None"	"C57BL/6"	0.9763	0.4716
941	"SRX1688487"	"mm9"	"Histone"	"H3K27ac"	"Neural"	"Brain tumors"	"None"	"Pten fl/fl, Trp53 fl/fl"	"C57BL/6J x 129"	0.9495	0.3267
942	"SRX1688488"	"mm9"	"Histone"	"H3K27ac"	"Neural"	"Brain tumors"	"None"	"Pten fl/fl, Trp53 fl/fl, Olig2 fl/fl"	"C57BL/6J x 129"	0.9508	0.2992
943	"SRX1688489"	"mm9"	"Histone"	"H3K4me3"	"Neural"	"Brain tumors"	"None"	"Pten fl/fl, Trp53 fl/fl"	"C57BL/6J x 129"	0.9885	0.6765
944	"SRX1688490"	"mm9"	"Histone"	"H3K4me3"	"Neural"	"Brain tumors"	"None"	"Pten fl/fl, Trp53 fl/fl, Olig2 fl/fl"	"C57BL/6J x 129"	0.9879	0.6801
945	"SRX1689939"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Thymocytes"	"None"	"Rag2 -/-"	"C57BL/6"	0.9799	0.4111
946	"SRX1690195"	"mm9"	"Chromatin"	"DNase-seq"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/OlaHsd"	0.9840000000000001	0.2477
947	"SRX1704883"	"mm9"	"TFs and others"	"Ctcf"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9961	0.8169
948	"SRX1704884"	"mm9"	"TFs and others"	"Smc3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9978	0.6025
949	"SRX1704887"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9890000000000001	0.7674
950	"SRX1704889"	"mm9"	"TFs and others"	"Nanog"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9704	0.3717
951	"SRX1704895"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9921	0.7915
952	"SRX1704897"	"mm9"	"TFs and others"	"Nanog"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9496	0.2587
953	"SRX1706938"	"mm9"	"TFs and others"	"Neurog2"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9659	0.3808
954	"SRX1706950"	"mm9"	"TFs and others"	"Isl1"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9366	0.1016
955	"SRX1706953"	"mm9"	"TFs and others"	"Lhx3"	"Pluripotent stem cell"	"Differentiated mESCs (Ainv15 cell line)"	"None"	"None"	"129P2/Ola"	0.9309999999999999	0.0594
